CustomerID,MonetaryValue,Frequency,Recency,Cluster,Segment
12346.0,77183.6,1,326,3,New Spenders
12347.0,4310.0,7,2,0,High-Value Champions
12348.0,1797.24,4,75,0,High-Value Champions
12349.0,1757.55,1,19,0,High-Value Champions
12350.0,334.4,1,310,1,Lost Customers
12352.0,2506.04,8,36,0,High-Value Champions
12353.0,89.0,1,204,1,Lost Customers
12354.0,1079.4,1,232,1,Lost Customers
12355.0,459.4,1,214,1,Lost Customers
12356.0,2811.43,3,23,0,High-Value Champions
12357.0,6207.67,1,33,0,High-Value Champions
12358.0,1168.06,2,2,0,High-Value Champions
12359.0,6310.03,4,58,0,High-Value Champions
12360.0,2662.06,3,52,0,High-Value Champions
12361.0,189.9,1,287,1,Lost Customers
12362.0,5226.23,10,3,0,High-Value Champions
12363.0,552.0,2,110,0,High-Value Champions
12364.0,1313.1,4,8,0,High-Value Champions
12365.0,641.38,2,291,1,Lost Customers
12367.0,168.9,1,4,0,High-Value Champions
12370.0,3541.94,4,51,0,High-Value Champions
12371.0,1887.96,2,45,0,High-Value Champions
12372.0,1298.04,3,72,0,High-Value Champions
12373.0,364.6,1,311,1,Lost Customers
12374.0,742.9300000000001,1,25,0,High-Value Champions
12375.0,457.5,2,11,0,High-Value Champions
12377.0,1628.12,2,315,1,Lost Customers
12378.0,4008.62,1,130,0,High-Value Champions
12379.0,852.24,2,82,0,High-Value Champions
12380.0,2724.81,4,22,0,High-Value Champions
12381.0,1845.31,5,5,0,High-Value Champions
12383.0,1850.56,5,185,1,Lost Customers
12384.0,585.27,2,29,0,High-Value Champions
12386.0,401.9,2,338,1,Lost Customers
12388.0,2780.66,6,16,0,High-Value Champions
12390.0,549.84,1,80,0,High-Value Champions
12391.0,439.66,1,22,0,High-Value Champions
12393.0,1582.6000000000001,4,72,0,High-Value Champions
12394.0,1272.48,2,64,0,High-Value Champions
12395.0,3018.63,12,19,0,High-Value Champions
12397.0,2409.9,2,36,0,High-Value Champions
12398.0,1635.6599999999999,1,46,0,High-Value Champions
12399.0,1108.65,4,119,0,High-Value Champions
12401.0,84.3,1,303,1,Lost Customers
12402.0,225.6,1,323,1,Lost Customers
12403.0,427.7,1,50,0,High-Value Champions
12405.0,1710.39,1,149,1,Lost Customers
12406.0,3415.3,2,22,0,High-Value Champions
12407.0,1708.1200000000001,5,50,0,High-Value Champions
12408.0,2888.55,5,33,0,High-Value Champions
12409.0,11072.67,3,79,0,High-Value Champions
12410.0,693.3299999999999,2,309,1,Lost Customers
12412.0,1226.88,3,75,0,High-Value Champions
12413.0,758.1,3,67,0,High-Value Champions
12414.0,562.41,3,217,1,Lost Customers
12415.0,124914.53,21,24,2,At-Risk Loyalists
12417.0,3649.1,9,3,0,High-Value Champions
12418.0,668.58,1,113,0,High-Value Champions
12420.0,600.39,1,64,0,High-Value Champions
12421.0,807.04,4,16,0,High-Value Champions
12422.0,803.5600000000001,3,96,0,High-Value Champions
12423.0,1859.31,8,1,0,High-Value Champions
12424.0,1760.96,2,163,1,Lost Customers
12425.0,777.2,1,78,0,High-Value Champions
12426.0,582.73,1,195,1,Lost Customers
12427.0,825.8,3,22,0,High-Value Champions
12428.0,7956.46,9,26,0,High-Value Champions
12429.0,3750.4,4,9,0,High-Value Champions
12430.0,256.4,1,43,0,High-Value Champions
12431.0,6419.95,15,36,3,New Spenders
12432.0,5059.32,5,43,0,High-Value Champions
12433.0,13375.87,7,1,0,High-Value Champions
12434.0,806.14,2,85,0,High-Value Champions
12435.0,7829.89,2,80,0,High-Value Champions
12436.0,509.01,1,100,0,High-Value Champions
12437.0,4951.41,18,2,3,New Spenders
12438.0,2906.85,2,14,0,High-Value Champions
12441.0,173.55,1,367,1,Lost Customers
12442.0,172.06,1,3,0,High-Value Champions
12444.0,5005.46,5,21,0,High-Value Champions
12445.0,133.4,1,22,0,High-Value Champions
12446.0,1002.3100000000001,1,58,0,High-Value Champions
12447.0,476.49,1,243,1,Lost Customers
12448.0,449.45,1,44,0,High-Value Champions
12449.0,4067.29,4,22,0,High-Value Champions
12450.0,197.88,2,156,1,Lost Customers
12451.0,9035.52,5,11,0,High-Value Champions
12452.0,430.57,2,17,0,High-Value Champions
12453.0,707.09,1,134,0,High-Value Champions
12454.0,3528.34,1,56,0,High-Value Champions
12455.0,2466.86,6,73,0,High-Value Champions
12456.0,3181.04,3,44,0,High-Value Champions
12457.0,2363.23,7,66,0,High-Value Champions
12458.0,947.4,2,71,0,High-Value Champions
12461.0,826.88,2,94,0,High-Value Champions
12462.0,1189.59,2,19,0,High-Value Champions
12463.0,1344.78,4,53,0,High-Value Champions
12464.0,1212.05,8,10,0,High-Value Champions
12465.0,742.1899999999999,2,17,0,High-Value Champions
12468.0,729.5400000000001,2,188,1,Lost Customers
12471.0,19788.65,30,2,3,New Spenders
12472.0,6572.11,7,32,0,High-Value Champions
12473.0,3928.0499999999997,5,29,0,High-Value Champions
12474.0,7324.09,18,17,3,New Spenders
12475.0,723.38,1,54,0,High-Value Champions
12476.0,6816.42,11,16,0,High-Value Champions
12477.0,13219.74,6,23,0,High-Value Champions
12478.0,680.99,1,4,0,High-Value Champions
12479.0,527.2,1,11,0,High-Value Champions
12480.0,3281.63,4,28,0,High-Value Champions
12481.0,5579.82,10,23,0,High-Value Champions
12483.0,2484.98,8,17,0,High-Value Champions
12484.0,4527.32,6,33,0,High-Value Champions
12488.0,1298.66,3,10,0,High-Value Champions
12489.0,334.93,1,336,1,Lost Customers
12490.0,5417.93,10,5,0,High-Value Champions
12491.0,460.40000000000003,1,39,0,High-Value Champions
12492.0,263.21000000000004,2,63,0,High-Value Champions
12493.0,433.74,2,166,1,Lost Customers
12494.0,1246.1000000000001,7,16,0,High-Value Champions
12497.0,1043.1,1,82,0,High-Value Champions
12498.0,403.70000000000005,3,21,0,High-Value Champions
12500.0,4257.82,11,23,0,High-Value Champions
12501.0,2169.39,1,337,1,Lost Customers
12502.0,3723.87,5,96,0,High-Value Champions
12504.0,482.04999999999995,2,18,0,High-Value Champions
12506.0,73.5,1,233,1,Lost Customers
12507.0,1304.81,3,134,0,High-Value Champions
12508.0,397.88,2,26,0,High-Value Champions
12509.0,176.5,1,284,1,Lost Customers
12510.0,982.5699999999999,2,143,0,High-Value Champions
12512.0,132.18,2,66,0,High-Value Champions
12513.0,612.29,1,113,0,High-Value Champions
12514.0,1017.68,1,267,1,Lost Customers
12515.0,383.7,1,353,1,Lost Customers
12516.0,1312.06,2,78,0,High-Value Champions
12517.0,2481.6,5,28,0,High-Value Champions
12518.0,2056.89,5,1,0,High-Value Champions
12519.0,330.84,1,64,0,High-Value Champions
12520.0,2634.26,5,79,0,High-Value Champions
12521.0,599.68,1,143,1,Lost Customers
12522.0,192.72,2,39,0,High-Value Champions
12523.0,1789.77,11,19,0,High-Value Champions
12524.0,4485.72,8,9,0,High-Value Champions
12526.0,1316.66,3,1,0,High-Value Champions
12527.0,348.71000000000004,3,82,0,High-Value Champions
12528.0,1933.48,6,9,0,High-Value Champions
12530.0,1662.28,4,60,0,High-Value Champions
12531.0,125.22,1,15,0,High-Value Champions
12532.0,349.83000000000004,1,30,0,High-Value Champions
12534.0,1089.18,1,131,0,High-Value Champions
12535.0,716.35,2,92,0,High-Value Champions
12536.0,12601.830000000002,3,43,0,High-Value Champions
12538.0,363.95,1,29,0,High-Value Champions
12539.0,5568.35,4,22,0,High-Value Champions
12540.0,13400.24,17,20,3,New Spenders
12541.0,981.18,3,30,0,High-Value Champions
12544.0,372.7,1,36,0,High-Value Champions
12545.0,1000.39,2,75,0,High-Value Champions
12546.0,1161.5,2,47,0,High-Value Champions
12547.0,207.79999999999998,2,198,1,Lost Customers
12548.0,95.19999999999999,1,166,1,Lost Customers
12550.0,964.83,1,79,0,High-Value Champions
12551.0,168.0,1,358,1,Lost Customers
12552.0,437.82,2,39,0,High-Value Champions
12553.0,3692.28,10,8,0,High-Value Champions
12556.0,599.56,2,50,0,High-Value Champions
12557.0,11990.960000000001,5,16,0,High-Value Champions
12558.0,269.96,1,8,0,High-Value Champions
12559.0,561.71,2,311,1,Lost Customers
12560.0,2134.01,3,5,0,High-Value Champions
12561.0,238.85,1,303,1,Lost Customers
12562.0,3781.7400000000002,7,8,0,High-Value Champions
12564.0,456.9,1,261,1,Lost Customers
12565.0,145.92,1,289,1,Lost Customers
12566.0,351.65,1,86,0,High-Value Champions
12567.0,9401.28,10,23,0,High-Value Champions
12569.0,4124.69,32,2,3,New Spenders
12571.0,519.61,2,40,0,High-Value Champions
12572.0,1020.42,2,9,0,High-Value Champions
12573.0,160.54000000000002,1,227,1,Lost Customers
12574.0,218.45,1,316,1,Lost Customers
12576.0,1315.83,5,36,0,High-Value Champions
12577.0,626.6,3,35,0,High-Value Champions
12578.0,2794.51,2,21,0,High-Value Champions
12579.0,440.42,1,78,0,High-Value Champions
12580.0,415.7,1,247,1,Lost Customers
12581.0,197.71,1,40,0,High-Value Champions
12582.0,511.36,2,239,1,Lost Customers
12583.0,7281.38,15,3,3,New Spenders
12584.0,2338.15,9,4,0,High-Value Champions
12585.0,2040.1,2,234,1,Lost Customers
12586.0,196.94000000000003,1,17,0,High-Value Champions
12587.0,144.0,1,8,0,High-Value Champions
12588.0,214.89999999999998,1,39,0,High-Value Champions
12589.0,646.68,2,29,0,High-Value Champions
12590.0,9864.26,2,211,1,Lost Customers
12591.0,452.84999999999997,1,317,1,Lost Customers
12592.0,437.6,2,92,0,High-Value Champions
12593.0,418.09999999999997,3,109,0,High-Value Champions
12594.0,3338.2200000000003,10,38,0,High-Value Champions
12596.0,618.27,2,51,0,High-Value Champions
12597.0,3811.22,4,19,0,High-Value Champions
12598.0,3023.08,8,10,0,High-Value Champions
12599.0,1032.58,7,29,0,High-Value Champions
12600.0,2599.04,10,29,0,High-Value Champions
12601.0,577.0600000000001,5,190,1,Lost Customers
12602.0,153.12,1,59,0,High-Value Champions
12603.0,739.1999999999999,1,22,0,High-Value Champions
12604.0,254.18,2,79,0,High-Value Champions
12607.0,1579.51,1,60,0,High-Value Champions
12609.0,1126.85,3,78,0,High-Value Champions
12610.0,2099.54,5,23,0,High-Value Champions
12611.0,1193.32,1,52,0,High-Value Champions
12612.0,704.0400000000001,1,74,0,High-Value Champions
12613.0,3344.38,5,57,0,High-Value Champions
12614.0,315.6,1,278,1,Lost Customers
12615.0,2291.19,4,2,0,High-Value Champions
12616.0,713.3,2,95,0,High-Value Champions
12617.0,352.98,1,29,0,High-Value Champions
12618.0,177.31,1,22,0,High-Value Champions
12619.0,3641.24,9,16,0,High-Value Champions
12620.0,1339.41,3,15,0,High-Value Champions
12621.0,13689.67,20,2,3,New Spenders
12622.0,180.1,1,232,1,Lost Customers
12623.0,305.1,1,276,1,Lost Customers
12624.0,641.13,2,106,0,High-Value Champions
12625.0,2683.82,2,212,1,Lost Customers
12626.0,6620.48,9,23,0,High-Value Champions
12627.0,4478.53,7,11,0,High-Value Champions
12628.0,786.46,3,4,0,High-Value Champions
12630.0,1270.88,2,10,0,High-Value Champions
12631.0,640.5,1,57,0,High-Value Champions
12633.0,2163.98,4,59,0,High-Value Champions
12635.0,1689.18,2,90,0,High-Value Champions
12637.0,6002.9,8,67,0,High-Value Champions
12638.0,671.69,1,33,0,High-Value Champions
12639.0,486.1,1,239,1,Lost Customers
12640.0,1174.58,3,24,0,High-Value Champions
12641.0,185.9,1,115,0,High-Value Champions
12642.0,1013.26,3,25,0,High-Value Champions
12643.0,3344.64,6,128,0,High-Value Champions
12644.0,477.91,1,130,0,High-Value Champions
12645.0,1775.18,4,34,0,High-Value Champions
12646.0,1346.97,2,5,0,High-Value Champions
12647.0,3722.82,12,22,0,High-Value Champions
12648.0,318.05,1,155,1,Lost Customers
12649.0,623.51,3,107,0,High-Value Champions
12650.0,314.44,1,3,0,High-Value Champions
12651.0,114.0,1,335,1,Lost Customers
12652.0,919.98,1,331,1,Lost Customers
12653.0,2209.85,2,149,1,Lost Customers
12654.0,601.98,5,11,0,High-Value Champions
12656.0,4051.17,5,17,0,High-Value Champions
12657.0,1643.18,4,11,0,High-Value Champions
12658.0,686.05,1,19,0,High-Value Champions
12659.0,91.68,1,30,0,High-Value Champions
12660.0,245.1,1,11,0,High-Value Champions
12662.0,3849.78,11,1,0,High-Value Champions
12664.0,4881.88,9,8,0,High-Value Champions
12665.0,63.0,1,325,1,Lost Customers
12667.0,620.13,1,58,0,High-Value Champions
12668.0,3807.15,4,12,0,High-Value Champions
12669.0,2744.0299999999997,3,151,1,Lost Customers
12670.0,2996.05,5,10,0,High-Value Champions
12672.0,225.89999999999998,1,330,1,Lost Customers
12673.0,610.52,2,5,0,High-Value Champions
12674.0,1970.6,4,39,0,High-Value Champions
12676.0,1331.39,6,25,0,High-Value Champions
12678.0,17628.46,12,42,3,New Spenders
12679.0,1113.02,4,59,0,High-Value Champions
12680.0,862.81,4,1,0,High-Value Champions
12681.0,13787.54,22,15,3,New Spenders
12682.0,12279.82,31,4,3,New Spenders
12683.0,8476.57,15,4,3,New Spenders
12684.0,2283.63,7,8,0,High-Value Champions
12685.0,2863.08,6,28,0,High-Value Champions
12686.0,89.14,1,372,1,Lost Customers
12688.0,4873.8099999999995,1,114,0,High-Value Champions
12689.0,1247.61,2,26,0,High-Value Champions
12690.0,389.01,1,206,1,Lost Customers
12691.0,1035.8,6,28,0,High-Value Champions
12693.0,855.91,4,127,0,High-Value Champions
12694.0,869.67,2,70,0,High-Value Champions
12695.0,582.1,4,7,0,High-Value Champions
12697.0,957.59,3,29,0,High-Value Champions
12700.0,4939.99,4,8,0,High-Value Champions
12701.0,797.71,2,80,0,High-Value Champions
12702.0,219.0,1,20,0,High-Value Champions
12703.0,283.55,1,71,0,High-Value Champions
12704.0,2340.84,8,7,0,High-Value Champions
12705.0,6868.29,9,15,0,High-Value Champions
12707.0,603.42,1,292,1,Lost Customers
12708.0,2712.91,10,30,0,High-Value Champions
12709.0,9706.52,15,15,3,New Spenders
12710.0,1149.02,3,97,0,High-Value Champions
12712.0,4396.13,13,29,0,High-Value Champions
12713.0,848.55,1,1,0,High-Value Champions
12714.0,4708.86,5,9,0,High-Value Champions
12715.0,343.36,1,106,0,High-Value Champions
12716.0,1053.49,2,4,0,High-Value Champions
12717.0,1030.98,2,151,1,Lost Customers
12718.0,238.25,1,71,0,High-Value Champions
12719.0,644.95,2,5,0,High-Value Champions
12720.0,5781.73,25,3,3,New Spenders
12721.0,2656.13,6,32,0,High-Value Champions
12722.0,997.63,4,85,0,High-Value Champions
12723.0,725.07,5,4,0,High-Value Champions
12724.0,1031.41,4,5,0,High-Value Champions
12725.0,427.8,1,371,1,Lost Customers
12726.0,2609.1,7,28,0,High-Value Champions
12727.0,3980.7,7,11,0,High-Value Champions
12728.0,836.33,4,71,0,High-Value Champions
12729.0,453.01,1,114,0,High-Value Champions
12731.0,18895.91,12,24,3,New Spenders
12732.0,236.26000000000002,1,180,1,Lost Customers
12733.0,383.95,1,234,1,Lost Customers
12734.0,110.39999999999999,1,353,1,Lost Customers
12735.0,779.5699999999999,2,315,1,Lost Customers
12736.0,234.0,1,333,1,Lost Customers
12738.0,155.35,1,372,1,Lost Customers
12739.0,1013.04,2,78,0,High-Value Champions
12740.0,427.6,1,64,0,High-Value Champions
12743.0,540.13,2,134,0,High-Value Champions
12744.0,21279.29,7,52,3,New Spenders
12747.0,4196.01,11,2,0,High-Value Champions
12748.0,33053.19,209,1,2,At-Risk Loyalists
12749.0,4090.88,5,4,0,High-Value Champions
12750.0,275.88,1,129,0,High-Value Champions
12752.0,4366.78,1,81,0,High-Value Champions
12753.0,21429.39,6,23,0,High-Value Champions
12754.0,3010.74,3,236,1,Lost Customers
12755.0,3811.95,2,281,1,Lost Customers
12756.0,112.07999999999998,1,87,0,High-Value Champions
12757.0,7834.650000000001,13,16,3,New Spenders
12758.0,2791.59,2,117,0,High-Value Champions
12759.0,1531.44,3,52,0,High-Value Champions
12762.0,1898.52,2,8,0,High-Value Champions
12763.0,494.08,2,138,0,High-Value Champions
12764.0,1693.88,1,317,1,Lost Customers
12766.0,6989.63,7,4,0,High-Value Champions
12769.0,1143.6,1,239,1,Lost Customers
12770.0,1351.45,1,211,1,Lost Customers
12772.0,892.47,1,60,0,High-Value Champions
12775.0,1386.04,5,17,0,High-Value Champions
12778.0,822.23,6,20,0,High-Value Champions
12779.0,3981.36,8,38,0,High-Value Champions
12781.0,826.74,2,64,0,High-Value Champions
12782.0,2330.92,5,5,0,High-Value Champions
12783.0,2225.91,6,2,0,High-Value Champions
12784.0,532.8199999999999,2,9,0,High-Value Champions
12785.0,311.95,1,364,1,Lost Customers
12787.0,463.66,3,10,0,High-Value Champions
12789.0,91.85,1,65,0,High-Value Champions
12790.0,324.92,1,192,1,Lost Customers
12791.0,192.60000000000002,1,374,1,Lost Customers
12792.0,400.53999999999996,1,257,1,Lost Customers
12793.0,545.48,2,335,1,Lost Customers
12794.0,860.41,2,53,0,High-Value Champions
12795.0,430.48,1,19,0,High-Value Champions
12797.0,254.03,1,366,1,Lost Customers
